雄黄,"钱,g,分,两,克,钱5分,None,分5厘,钱3分"
白蔻壳,None
大麦门冬,两
朱黄芪,g
鳗鱼骨,分
俱用焙干,None
淮中膝,g
紫梢花,"两,克,钱"
墨,两
川桂皮,钱
净洗,None
择取叶,None
母鸡,只
白附子末,两
蒲公英,"g,～30克,克,升,两,石,钱,None"
干薄荷,两
轻粉,"钱,两,克,g,分,None,分5厘,钱半,钱匕"
橘核,"g,克,钱"
广三七,克
朱砂&0u0t;克,None
蚺蛇胆,钱
煅龙骨粉,g
炙甘草黄芪,g
杵碎,None
作二边膜心,None
侧柏叶,"克,两,g,两5钱,None,钱"
乌鸦,只
锉末,None
紫稍花,钱
鲜鸡蛋,个
川蜀椒,g
无参,g
红信石,"钱,g"
杜牛膝,"克,两"
羚羊粉,"g,克,None,两,钱,分,两5钱"
苍耳子,"克,升,钱,g,两,None"
入后药,None
剥皮切薄片,None
诃黎勒皮,"分,None,两,克"
益元散,"钱,g"
柳杖子急搅,None
蕤仁,"克,分,两,分5厘"
陈石灰,g
或人乳,None
木,g
鹿角胶,"g,两,斤,克,钱,斤半,分"
慢火煎令鱼目沸,None
滑涎,None
三蛇胆,g
甜石莲子,g
银柴,钱
香木缘,g
蛇蜕灰,两
烊阿胶,g
牛乳拌蒸,克
约重,斤
分作,份
去芯莲子,克
欢皮,g
炙党参,g
锉片,"None,钱"
墨旱莲,"g,斤"
艾叶炭,"两,g"
六君子汤加炮干姜,None
卷柏,"分,克,g,两,None"
好墨,两
地骨白皮,None
桔硬,g
盐炒黄柏,g
艾把,两
紫驴护干,两
白芍,"None,g,两,钱,克,两5钱,分,两6钱,kg,钱5分,石,钱2分,两半,钱半,两1分,两2钱"
山中黄土,斤
桑螵蛸,"两,g,克,枚,钱半,None,分,-7枚"
川通草,克
炒砂仁,g
熟酸枣仁,石
焦蜜,g
肿节风,片
炒去丝,两
川斑蝥,个
炙枳实,g
釜煮之,None
栀子,"钱,两,g,克,None,斤,分,粒,钱半,枚,个"
乱发,"两,块,克,钱,分"
当归I0五味子,g
干姜,"钱,两半,两,克,None,斤,分,片,g,～9克,～6克,块,钱半,斤4两,铢,升,钱3分,斤半"
泡参,"钱,克,g"
葛根l,g
九香虫,"g,对"
硼酸,g
何首乌,"g,克,None,两,钱,～30克,斤,分,石"
大风子肉,两
玉支,None
老柏白皮,两
神僸,"两,None"
不限多少,None
盆复之,None
茅柏根,g
用浓皂角水漫一宿,克
鸡骨草,g
鸭嘴胆矾,None
萝布麻叶,克
维生素B,g
900,None
纳醋中,None
紫菀酌量,None
白艾叶,克
勿与知之,None
山药粉,None
焦山楂,"None,g"
地栗粉,"两,克"
TO,None
牛薏子,升
京三桂,克
锁阳,"g,两,钱,None,克"
独脚莲,None
牵牛头末,"钱,两"
使君子,"两,克,g,None,钱,个,分"
臭樗皮,两
胡椒桂,两
明参,g
曲头棘针,"两,枚"
藏青果,None
鹿茸,"g,None,付,两,钱,克,个,两5钱,对,两半,钱5分,两1分,分"
嫩鹿茸,两
黄百部,g
熟附,"None,g"
用厚纸,None
川贝,"克,两,钱,两2钱,g,None,分,斤8两,钱半,斤,石"
北五味子,"钱,None,两,g,钱半,克"
烧爆裂散,None
黑牛角,g
真松萝,钱
黑铅,"克,None,斤,钱"
结砂子,两
料酒葱姜,None
驴耳塞,两
核桃,"两,None,个"
荆芥根,None
蒲黄炒阿胶,g
黑芥穗,"克,g"
肉元参,g
生白药,g
北箭耆,钱
金樱子,"-30g,g,克,None,两,钱,石,个"
去翅足,None
黑蒲黄,g
马先蒿不计多少,None
一半去油,两
五灵脂香附,None
油朴,g
白芜荑,"克,两"
生大枣,g
水红花,斤
煅,None
澄去酸汁,None
生代赭石,g
滑石,"克,两,g,两半,千克,钱,None,分,石"
红藤,g
炙穿山甲,g
石灰,"两,克"
川厚扑,g
或只以肝煮研烂为丸,None
石臼杵捣筛,克
厚丹,g
生男女者妇人头发,握
取井花水调椒红盛于器内,None
鲜灵脾,g
鹅腿草,None
用新鲜连须全葱,-4斤
净择水洗,None
牛蒡根汁,合
茯,None
厚大新鲜者,None
芎?,"两,分,钱,两半,两1分,None"
黄艽,g
焰消,None
百草霜,"钱,g,斤,分"
槐枝,"两,寸,None"
白糖,"None,g,千克"
甘草水飞,None
白矾灰,"分,两"
炙首乌,g
紫菀,"克,两,g,钱,分,两半,None"
GO,None
象牙屑,"克,钱"
砂锅煅,None
捏作饼,None
制没药,"g,两,钱"
狗茎,枚
鸡内金末,克
入青矾,钱
谷芽,"两,克,两6钱,g,钱5分,钱半"
放冷,None
羚羊角屑,"两,克,分,两半"
醋炒三棱,克
忍冬叶,克
菟丝了,g
大穿山甲,两
用蛤粉炒成珠,None
鲜萍全草,g
吴茱萸,"分,钱,克,g,两,None,斤"
荞麦杆灰,钱
二面针,g
桃白皮,None
鸡苏薄荷叶,两
羊子肝,None
禹粮土,g
真羚羊角,克
制珊瑚,g
酒常山,g
防风通圣散加苦参,None
火段石膏,g
以苦酒,升
生姜汁炙,"分,两"
生麦门,两
生米壳,斤8两
防风,"克,None,两,分,g,钱,升,两5钱,两半,两1分,钱5分,钱半,钱2分"
分为小块,None
罂粟,"钱,克,两,g,None"
当归片,g
紫珠草,g
蜀当归,分
研如泥,None
楮白皮,两半
烧留性,None
大联珠,g
炙僵蚕,克
穿心巴戟,None
川心连,g
虎肚,个
红三七,g
莳萝子,分
砂仁末,分
蒸大枣,枚
大腹皮,"两4钱,钱,克,g,两,分,None"
茯菟,两半
杏子油,斤
空青,分
干蜗牛,个
甜菊叶,None
%山药,g
粗去心膜,None
滑石末,钱
川百药煎,"钱半,None"
捣烂,None
剥皮,None
候冷,None
炒苍术,"g,None"
如作米糖式,None
去角脑梢骨,厘
姜汁作饼,两
功劳叶,"克,g"
川柏末,g
粳米,"克,None,g,～100克,升,两,合"
草蔻,"克,None,g,两,斤,钱,分,枚"
川苇,g
扁豆衣,"g,克"
佛手,"克,g,None"
酒炒杜仲,克
穿山甲片,g
银朱樟脑,分
人乳,"克,None,杯"
广青皮,两
羊白肠,条
六安石斛,两
元荽,g
甲,None
熟干地黄,"两,克,两半,分,None"
榴皮,g
大鱼苦胆,个
松香末,克
槟榔片,g
去艾,None
去鳞,None
四物汤加阿胶,None
真珍珠,"厘,钱"
茜萆炭,g
用前足上甲,分
金扁柏,g
明雄黄,"None,钱,克"
牧童,g
上血竭,两
锅粑,g
赤苓,"None,两,克,g,分,两半,钱,钱半"
莶草,g
地塞米松注射液,g
红大戟,"钱,None,两,两5钱,g,克,升"
真珠粉,"g,None"
飞丹,"None,钱"
制何首乌,"None,g"
金沸草,g
辣蓼,g
孩儿参,克
花摈榔,g
焊菜,g
将苍术和合作,None
好灵砂,分
木贼,"None,g,两,分,钱"
台参,g
寻骨风,g
研细末,None
茉莉花,朵
旧陈橘皮,钱
山椒,g
琥珀米,g
白占,钱
雄雀儿粪,两
荸荠粉,分
兰香叶,两
盐泽泻,两
研为泥,None
白薇,"g,两,克,None,钱,分,铢"
胡桃仁,"g,枚,两"
龙骨飞丹,None
花正开时,None
炙款冬花,g
虎帐,g
公分香附末,g
生艾汁,升
清炙草,分
柴胡梢,克
白牵牛,"克,g,两,None"
汤煮掠去沫,None
炒穿山甲,g
骨粉,g
赤龙鳞,分
煎取汁,毫升
藁木,克
不得用盐煮干,None
青陈皮,g
猪瘦肉,g
曲末,"分,升"
焦大黄,g
天名精,g
黑驴肾,None
大甘草,钱
取白,None
冬瓜子,"g,钱5分,两"
秦切,克
炙苏子,g
山桔根,g
令极熟,None
山羊血,分
面曲,两
枫香,钱
胡桐泪,两
鲜虾,g
白术钱半,None
牡蛎,"克,两,-50克,钱,g,None,分,两1分,铢"
木鳖子肉,两
白果,"g,两,钱,枚,～12克,克"
五谷虫,"个,g"
炒表芽,g
薄荷脑,"g,None,钱"
枯红矾,克
好酥,两
兖墨,分
大枫子仁,克
鬼箭羽,"克,g,分,两"
将米泔慢火煮半日,None
兰叶,克
石斛大,斤
用酒,"升,斗"
茱服子,g
生熟地,g
好艾叶,None
柏仁霜,两
楮树枝,寸
取出洗净,None
酒军炭,g
生韭菜,None
山萸肉炭,分
鲜猪胰,条
盐杜仲,克
去红花不用,None
莲房,None
透明朱砂,两
生黑附子,克
炮附子,g
川黄柏,"两,g,钱"
怀生地,钱
豆蔻,"g,None,钱,钱5分"
牙硝,None
辣桂,"两,None,钱"
庶可久留,None
榆树枝,寸
