雄黄,"钱,g,分,两,克,钱5分,None,分5厘,钱3分"
豆大,None
炒赤,克
梅花鹿胎,具
覆盒子,g
水澄蒸,None
研末入水澄之,克
加至,钱半
生姜片,"克,片"
却合姜,None
去辣味净,两
炒菜菔子,g
鲜侧柏叶,克
剥,None
佩兰,"g,克"
苦瓜仁,g
仙鹤草,"克,g"
玄明粉,"克,g,钱半,钱5分,两"
酒炒常山,克
紫草,"克,None,g,石,两,钱"
全瓜萎,g
川牛黄,分
清公英,克
淡附,g
黄莲,g
人参,"None,g,两,钱,克,分,钱5分,两半,两5钱,～30克,两1分,斤,两2钱,～15克,～250克,～60克,～9克,石,两6钱半,钱半,钱2分,两8钱"
东流水浸,None
川藿香,g
三核,g
鲜菖蒲,g
用芝麻,斤
稀莶草,g
细甘草,None
酒知母,克
乌梢蛇,"g,条,两,None,分,克,钱"
蕲蛇,"g,条,None,两,寸,钱,克"
人中黄,"两5钱,None"
上安桂,g
野党参,"g,两"
党参,"两,g,克,钱,None,千克,升,石,钱5分,两5钱"
诃子,"None,克,钱,两,g,分,个,枚,两半,石"
甘桑椹,克
赤何首乌,两
四君子汤,"None,g"
防已,g
龙葵,"石,克,g"
玉米须,"石,g"
枯矾石,钱
百里香酚,g
钟乳粉,"两,None"
香菇,g
先入银器中放在,-6斗
竹茹栗大,团
占斯,两
上下用文武火炕干,None
生姜自然汁,"盏,两"
炙地龙,g
榼藤子,枚
入水银,None
生草乌,"g,钱半"
只用肝,None
海蛤粉,None
江鳔,两
野葛,两
酒熟地,克
黄酒,"ml,g"
炒盐,克
鲜鸡肝,个
炙黄芪,"g,克,None"
煮熟艾汁,None
炙甲片,g
薤叶,克
冬时苏大,升
日为始,None
广角粉,g
取自头至中心,截
飞面,钱
苦参,"克,g,None,两,两半,斤"
淮山经,g
连花蕊,两
蜣螂,"枚,个,克"
玉竹参,g
参三七米,g
硫黄,"两,钱,两半,None,克,分"
狸骨,两
全蝎粉,g
次生地,钱
丽参,钱
或加大黄,None
鲤鱼,"头,头5斤,g"
一字,None
真绿豆粉,钱
参鳖甲,g
鱼腥草,"克,g,None,份"
麦芽,"两,None,克,g,斤,钱"
生地竹叶,None
白葵花,克
南山楂,两
嫩松香,两
陈仓米,"钱,None,克,撮,g"
小米,克
使君子肉,"两,g,钱,钱2分"
臭梧桐,g
赤芍,"两,克,kg,钱,None,g,钱5分,分,两半,斤,两5钱"
醋枳壳,g
妙香附,g
败荷,钱
甜参,两
炒阿胶,g
生箭耆,克
腊茶,两
安,None
麦芍,g
炙附片,g
净蕲艾绵,两
铺槽揽匀,None
干油菜,g
炙牛角腮,g
千斤拔,"None,g"
酒洗,"两,None"
家菊,两
上药只吃了几次,None
寒水石,"克,两,g,None,钱"
加人乳再蒸,两半
煅瓦愣,g
川柴胡,钱
煨生姜,片
葱须,克
六一散,"克,g"
松子,升
取日精月华之气晒露,None
鸡矢藤,"g,份"
香油,"斤,None"
清油,"克,斤"
桃仁泥,"g,分,钱"
万年青根,g
炒葛根,g
当归身尾,-5钱
夜明砂,"钱,g,None,两5钱,两"
当归须,None
川灵脂,克
松节,"g,克,钱"
桅子,g
桱树皮,两
蜂蜡,"钱,两,g,克"
松子仁,None
毛冬青,"克,g"
包揜半夏,None
天台,"两5钱,分"
见巴黑色,None
同铫子内炒微黄,None
飞东丹,钱
嫩黄蜡,两
次入斑蝥,None
黄鹰粪,分
吴茉萸,g
俱可采,克
生芝麻,钱
新石炭,钱
蚕茧,"个,g"
又换,None
醋淬,"None,两"
大茴香,"两,钱,克"
以糯米拌炒,None
瓜蒌根干葛,克
紫瑶桂,分
又加南烧酒,千克
炙兜铃,g
微炙,None
煮一次,None
又用,None
生茜根,g
铁苋菜,g
栀枝,g
大麻油,"合,None"
白沙蜜,两
猪胆汁粉,g
辛荑花,"克,升"
白雷丸,"克,None"
白豆蔻仁,"两,克,钱,钱5分"
上肉桂,两5钱
炒楂曲,g
草旱莲,g
农吉利,g
苍耳根,两5钱
醋酸,毫升
蜜虫,克
茱萸,两
铁粉,"None,两,钱半,分"
百花蛇舌草,g
去丝,克
[方源]古方化裁,None
青皮,"None,钱,两,克,分,g,斤,钱5分,两半,两5钱,钱半"
拔多愈妙,None
将硫黄,None
俟其融化,None
虎胫骨,"克,钱,两,两半,斤"
装朱砂末,None
蜜水润,None
夜明螺,None
盐豉,合
火消,"钱,两"
纸裹,None
赤苓皮,克
淀粉,None
羊肉,"g,千克"
半夏末,分
王不留行,"克,g,None,石,两,钱"
炙鸡内金,g
淘滤精细,None
金箔,"片,None"
水蛭,"g,克,枚,两"
芡实末,g
黄腊,克
鲜凤仙透骨草,g
釜中,None
樟丹,"两,g,None,分,钱5分,钱,克,斤"
去瓤净,None
参三七末,g
合定,None
肉桂炙,钱
僵蚕l,g
叶肾,g
小便,升
玛瑙,"g,钱"
陈徽墨,钱
荞面,钱
用明矾泡,None
红粉,"克,g"
CHIA,None
猪膏,斤
炮干姜,"～9克,钱"
桃红,g
石斛,"两,分,两半,None,克,钱,～30克,g,两4钱"
马鞭梢,寸
从旦至暮取出,None
苇l,g
青叶,两
当归,"None,g,两,钱,克,分,两半,两5钱,～9克,钱5分,两2钱,kg,千克,升,石,钱2分,斤,钱半,两8钱"
代赭,"两,分"
山铁均,g
蚱蝉,个
半节,None
苋实,g
瓜萎皮,g
九蒸九曝,克
真青龙骨,两
鸡蛋,"只,枚,个"
炙微黄,"两,None"
再煮令干,None
灶心黄土,g
蔗汁,杯
珠远志,g
银,锭
用后腿上甲,分
炙马前子粉,g
海狗鞭,"克,两,两1分"
合欢皮,g
栝楼实,"克,枚,两"
生阿胶,g
百合,"克,两,g,None,钱,石,升,分"
黄连素,g
毕澄茄,"两,分,g,克,None,钱"
石榴,g
新鲜猪胆,g
白酒,"ml,克,毫升,千克"
酢浆草,g
杉树根,g
油,"两,两8钱"
瓦松,g
被遗忘在土耳其,None
三七末,g
芍,g
六和曲,克
炷,None
黄牛粪,两
炒杜仲,g
鸡苏叶,两
晚蚕沙,"升,钱,None"
鲜藕,g
同朴煮,None
红曲,"两,钱"
炙葶苈,g
炒贯众,g
去滓不用,None
苦楝根,两
42,None
真桑螵蛸,两
夜则露天明放,None
生山栀,g
鲜葱白,个
白芥子,"g,两,克,份,两半,钱,None"
百药煎,"两,None,克,钱"
将全蝎嵌在核内,None
侧柏叶多用,None
砂仁,"None,g,两,钱5分,钱,两5钱,克,两9钱,钱2分,枚,分,两半,个,粒"
用醋,克
醋柳果,石
蝉翼光明者,None
醋生地,g
人参浓汁,None
柴河车,g
紫葛,"两,分"
蛀桑子,钱
和下药,None
苁蓉,"两,分,钱,克"
枇杷叶,"None,克,g,两,分,升"
枇把叶,克
入酒中淬,None
公分,None
拍作饼,两
取产多者妇人发,None
山茱萸肉,"克,g,两,钱"
地枫皮,g
川五灵脂,分
干葛根,None
蛇骨,钱
茶叶,两4钱
甑上,None
生菟丝子,g
防风风,g
日足捣碎,None
香仁,g
同前法,None
秦艽,"g,两,钱5分,克,钱,分,None,份,两3钱,钱半"
碎锉,克
取自然汁,None
鬼前羽,g
胡桃皮,分
干姜皮,克
鸡肠,具
紫牵牛,None
白皮,g
柴珠草,g
银花炭,g
鲜三七参带叶,寸
益母草汁半小盏,None
砂仁等药味经加工制成的胶囊,None
又上火炒至老黑色,None
桂枝,"克,g,None,石,钱,两,钱半,钱5分,分"
饭上蒸,"克,两"
小茴香,"钱,两,两半,分,克,斤,None,两5钱,斤半,g,钱半"
茅香,"分,两"
当归?克,None
荷鼻,None
胆,None
天南垦,钱
制厚朴,两
独头蒜,颗
左右,克
拌好酒,两
小麦,"～15克,克,g,合,斤,升"
青藁,两
广皮白,钱半
用好饼酒湿润,None
炒柴胡,g
西玉石,g
乌鸡浸膏,g
山楂根,g
胡椒,"钱,两,克,g,斤,分,钱半,粒,None"
京红粉,钱2分
家雀脑,个
漏篮子,"两半,两"
白苓,"None,钱"
炒薏苡仁,g
草豆蔻仁,"两,克,分"
生川芎,g
天竺黄末,两
西瓜皮,"None,克"
乌鲗骨,钱
桂圆肉,"g,两,枚,钱,克,None,斤,朵"
入绢袋于大盆中摆之按揉,None
石南,分
盐水炒连翘,克
板兰根,"g,钱"
百合花,g
三七参,g
瘪桃干,g
胆矾雄黄,None
苦茄种,两
簇于方砖上,None
干生地,"～30克,克"
干漆,"升,分,两,钱,克,g"
每服旋入,合
浙茯苓,钱
乌药,"g,两,两半,钱,克,None,分,两5钱,钱半"
拧油去滓,None
金铃,g
红艽,g
麋角屑,两
獭肝,分
牡蛎粉,"克,g,分,两,钱"
十灰散,钱
香墨,钱
砂糖,两
生茜草,g
炒干姜,克
当归梢,"钱,克"
盖于饭甑上蒸,None
同熬,None
早晨朝东晒,None
代赫石,g
京墨,两
水洗去浮者,None
珍珠草,g
川木通,"两,克,None,g,分,钱,两半,千克,钱半"
玳瑁,"分,克"
烧存性,"份,None"
舶上茴香,"分,两,None"
切作骰子块,None
橡斗,枚
水煮半日,None
用甘草,两
生黄芪,"克,g,石,None,升"
干蝉,个
煅出尽金色者方可用,钱
桑柴灰,"升,碗"
炒广皮,克
童便制,None
生枳壳,"g,克,分"
土白术,g
羊蹄草,g
入水与牙皂同煮,None
不食井花水,None
生姜汁炙透,两
黑大枣,枚
诃子皮,"两,两半,钱"
金耳环,g
寒食面,钱半
蝎梢末,钱
炒升麻,g
炒白芥子,g
酒白药,g
萆蝎薢,克
入前三味调匀,None
密蒙花,"g,None,两8钱"
与水银同研,None
茄子根,"斤,None"
杏仁酌量,None
地骨皮两,None
取黑豆,None
候冷用,斤
白芨,"克,g,两,分,钱半,None,两半,钱"
茯苓皮,"克,g,钱"
扫盆,克
叶生至未落,None
薏苡,克
可用茎叶,None
圆肉,两
白花蛇蛇草,g
青木香,"分,None,g,克,两"
皮纸二层,None
去灰,None
驴毛,把
阿司匹林,g
蜥蜴,None
湿山药,克
-克,None
丁母香,钱
同吴茱萸浸二宿,两
小黑豆,两
味均下罐,None
鲜荷叶,g
仙灵牌,g
侧柏炭,"钱,g"
菊花,"克,钱,两,g,石,None,分,两8钱,两半"
青葙子,"g,克,两,None,分,钱"
淡竹叶,"克,g,升,片,None"
醉浸,两
以灯革裹猪心,None
用麻油慢火煎,None
王不觅行,g
胡金,石
新竹茹,g
希签草,g
干石斛,g
鲍鱼肉,斤
柏勒,g
槲寄生,"克,两,钱,g,None"
蜡梅花,"朵,克"
苦楝皮,"g,None"
细研,"两,None"
同炒微黄,None
大白芍,g
筚拨,g
羊膝,g
再用麦麸炒至黄色,None
姜水炒黄连,克
积实,g
蛇蜕,"钱,g,分,条,克"
蜜炙黄芪,"克,g"
生雄黄,None
枸己子,g
脐尖,两
煨熟,None
荆实,两半
切破,None
徐长卿,g
商陆根,"分,两"
置坑中,None
泽兰,"两,克,g,钱,None"
北味,None
牛蒡根,斤
煎至,碗
地锦草,"g,两"
芒硝,"克,g,钱,None,两"
铁树叶,"克,g"
如轻虚即是他州者,None
白茯神,"两,克,None"
栗子,两
务以,None
鳗鲡鱼,两
银汤瓶内碱,None
甜瓜子,"g,两,分"
苇,g
料姜石,克
炙绵芪,g
白芨粉,g
冰片不拘,None
青礞石,"两,None,g"
甜当归,g
不用叉附及蛀者,None
又晒,None
绵芪,g
蒴藋根,两
无名异,"g,克,钱,None,两"
五味子,"钱5分,g,两,克,两半,粒,斤,分,钱,None,个,枚,钱半,石,两1分,合,升"
草果,"钱,克,枚,None,g,两,钱半,个,钱5分"
牛乳,None
梁上尘,分
茵皮,g
荞麦,g
小盐,克
炒令黄,None
用文武火熬成膏,None
麦芽曲,两
甘葶苈,None
八角附子,两
入瓷碗内,None
去角,升
樟脑,"g,克,None,分"
猪靥,个
山茵陈,分
牛蒡子,"None,钱,升,分,克,g,两,份"
全蜈蚣,条
肥红枣,g
古石灰,钱
分开连,两
川楝子,"两,克,斤,g,石,个,None,两半,钱,分"
同煮长香,None
荷叶,"两,克,g,张,分,片,个"
清夏,"钱,g"
于金银器内盛之,None
%黄柏,g
女用雌,None
涂生姜汁,"两,None"
紫河车粉,g
野猪皮,两
拣去枝杖,None
蜜蒙花,"None,钱"
天灵盖,"升,个,两,片"
姜片,片
雨前茶,钱
黄芪皮,g
焦楂曲,g
萆解,"克,g"
急性子,"g,石,克"
大麦冬,"g,钱,None"
生白萝卜,g
茵芋,"None,两,克"
生麻,g
同烧存性,克
吐温,ml
桑柴火煅红,None
赤石子,克
上元,g
劈毒立消丹,None
准山药,"两,g"
数张裹,None
川蜈蚣,条
酒,"两,None,升,毫升"
嫩黄耆,"两,克"
抚川芎,g
解的不用,None
石榴皮,"克,g,分"
年久碎瓦片,None
白粳米,克
炒蒲黄,g
小生地,两
俟吐出壳内之泥,钱
葛垠,g
桃枝,"握,寸,None"
如太烧手,None
赤白芍,"克,g"
大川乌,"None,两"
酒煮,None
炒芥穗,克
芜荑,"两,分,None,克"
童便,"g,毫升,None"
棕榈,"g,两"
制吴茱萸,None
%金银花,g
炭火烧令烟尽,None
楮实子,"两,克,g,None,两半,分,升"
姜汁,"None,毫升,g"
蔗糖,斤
刘奇奴,两
白药子,None
淡味桂,克
贯从炭,g
黄明胶,"克,两"
鹿角,"None,两,分"
莲子,"g,克,两,钱,两4钱,斤,None,升,两5钱,钱5分,分"
半生,None
葛粉,升
路路通,"枚,g,石"
木防已,分
柏子仁,"两,钱5分,g,斤,克,两半,钱,升,None,分,～15克,钱半"
大豆黄,合
川巴豆,g
草薢,g
红大枣,g
妇性嫌恶,None
马牙消,"分,钱,两"
住火放冷后,None
吴莱萸,克
煮令芽出,None
伸筋草,"克,g"
细墨,"两,钱半"
古铜钱,"文,枚"
大蒜子,g
巴戟天,"两,g,两半,克,钱,分,None"
淋汁,None
去前,None
炒令断丝,两
青橘,g
苏木,"克,钱,g,None,分,两"
瓜萎仁,克
润元参,g
马屁勃,两
蔓荆子,"g,克,石,None,分,两,两4钱,两半"
竹刀剜成罐,None
黄连黄柏,克
甘杞,g
紫贝齿,"g,克,枚,分,两"
没药,"g,两,钱,克,None,钱5分,份,分,分5厘,钱半"
白胶香,"g,两1分,None,两"
西洋参,"两,g,克,None,～9克,石"
兔丝子,g
草灵芝,g
锉作,寸
宿姜,两
茅草,g
白龙骨,"两,None,钱,克,分"
龙胆肉,克
干苏叶,两
荔枝核,"g,克,个"
被沙参,g
大枣肉,枚
香菜子,"钱,两"
梗末,g
斑蝥,"克,个,None,枚,两"
更研如稀糊,None
新罗人参,克
黑锡丹头,两
母丁香大者,个
醋泡,钱
志肉,钱
二活,g
生干地黄,"两,None,克,分,升,两3钱,两1分,斤"
自初伏,None
牛大力,None
生藕,斤
桃仁钱半,None
冬白术,钱半
红彦另煎,g
逼干,None
沙菀蒺藜,g
白防己,两
鲜猪脊髓,g
用线缚住,None
杜仲皮,克
野台参,克
奏皮,g
补益智仁,g
赤小豆,"钱,g,克,斤,合,两,None,粒"
松香,"两,g,两1分,两半,钱,None"
三棱,"None,两,克,g,斤,分,两半,钱"
法夏子,钱
羊肚,具
附片,"克,g,升"
瓜萎,g
侧柏,"两,分,克"
炙龟板,g
小川芎,g
去筋膜,None
山羊睾具,付
同香附用陈醋,克
干虾蟆,"个,克,枚"
墨汁,毫升
暑天则,None
栗间,两6钱
川羌,"None,钱,钱5分,两,g,分,克,石,份,两半"
陈久黄艾,None
割破头边,None
全螟蚣,条
用米泔洗涤污浊,None
壁虎,条
宜州木瓜,克
用油单密封口,None
生没药,g
炒牡丹皮,g
大黄桃仁,钱半
晋矾,两
取出炙燥,钱
浮小麦,"克,合,g,None,钱"
北茜香,克
玫瑰花,g
制皂矾,份
蝼蛄,"g,只,个,枚"
复时,None
白马蹄,两
乳香,"g,两,钱,克,分,None,份,钱5分,分5厘,钱半"
去沫,分
用大豆蒸透,None
瓜蒌根末,None
慢火焙干,None
内如紫铁色者,斤
制珍珠,g
穿心莲,g
克吴茱萸,None
藿香叶,"克,None,钱,两,分,g,两半"
白面包,None
马勃,"两,g,分,钱"
蒸数次,None
猪脂,"斤,克"
用无灰酒浸,None
茯神,"钱,g,克,两半,None,两,石,分,钱半"
山栀仁,"克,分,None"
蓼芪,g
旱莲萆,g
微火炙,克
紫苏茎,"两,握"
速倾冷水盆中,None
入臼捣,None
菝葜,"g,两"
酸石榴皮,"两,分"
陈麻灰,None
芡实粉,"克,两5钱"
山栀子仁,"两,克,两半"
鲜石斛,g
黄精,"g,克,钱,None,两,千克"
山萸药,g
熊去氧胆酸,g
干蝎,"克,分,两,None"
鸡头肉,两
南北沙参,～30克
制军炭,g
胵,None
以水,"None,升"
乌海,g
银杏叶,g
白姜,"克,None,两"
鼠奶,g
淡香豉,钱
杭大戟,钱半
古字钱,-7文
大好枣,枚
老酒煮一时,克
不用甘草,None
研末,"None,克"
三七末冲,重
银柴胡,"两,g,钱"
大艾叶,两
玉米,两
伏龙肝,"钱,克,g,合,两,分,None"
黄牛骨髓,两
原蚕沙,升
炙藕节,g
山慈姑,g
醋熟地,g
入酒,升
炙半夏,g
玄参,"g,克,钱,两,分,None,石,斤,两半"
猪蹄合子,枚
枸杞根叶花,None
杜仲大,斤
白鸡冠花,"两,None"
再用微火熬膏倾入瓷坛内,None
芦荟末,钱
皂角刺,"钱,None,克,g,分,两,个"
湿纸煨熟,两
雄胆,g
大枣仁,斤
饴,斤
磁石,"None,两,g,克"
水尽为度,None
化橘红,"g,None"
炒玄胡,g
良姜,"两,克,斤半,钱5分,钱,None,分,g"
摈榔,克
广姜黄,g
大小蓟,克
桑寄生,"g,两,克,钱5分,钱,None,两半"
莪木,g
至钱半,None
藕根,"None,两"
麋茸,两
早晚换之,None
冬虫夏草,"～15克,克,g,石"
白芷稍,None
芫花,"钱,两,None,克,分,g"
落藜草灰,斤
生茅术,g
盐补骨脂,g
郁金粉,g
芡实,"克,两,斤,None,g,钱"
生灵脂,两
釜底燃火令如鱼目沸,None
陈葫芦,g
白大豆,g
黑山栀,"g,两,None,钱"
川橘叶,g
灰火中炮透,None
桑叶,"两,片,g,克,钱"
杉皮灰,钱
花蛇头,None
槿树皮,两
树舌,g
青风藤,"钱,g,两"
黄芩素,None
至伏尽日收起不晒,None
虎肢,对
煎取,盏
蛇蜕皮,"寸,分,条,克,两"
荷叶蒂,"个,None"
晚祥西根,None
沉香粉,g
蔗鸡,None
小帚,None
女贞子,"克,两,g,None,钱"
地龙,"克,g,None,钱,份,两,条,分,钱半"
煮毕取出,None
制山甲,克
鲜生地黄,g
外洗,None
川百合,g
四物汤,None
乌蔹莓,克
将黑豆并青盐水,None
不得伤火,None
三梅片,分
荏子,升
檀香,"分,两,g,None,钱,铢,克"
柳木篦子搅,None
制草,两
薏苡仁,"克,两,None,钱,g,石,重,分,两半,斤,合,升,升3合"
雄雀粪,"两,分"
白牵牛子,两
慢火煎,None
竹茹,"两,克,g,钱,None,斤"
泽漆茎叶,分
冰片,"None,g,钱5分,分,克,钱,厘,字,两"
生知母,None
香皂,个
雀脑,None
同于银石器内上文武火炒令干黄色为度,克
荔枝干,枚
童便泡,None
炒生地,g
青毛鹿茸,两
氯霉素,g
石绿,"克,两"
薄荷素油,None
红木香,g
红曲面,g
陈莱菔,克
广枣,g
麝香,"钱,克,分,None,两,g,字,钱5分,厘,钱半,钱匕,粒"
瓜藤,g
为末,None
黄牛鼻,具
故纸,"钱,两,克,None"
珍珠,"克,g,分,钱,两,None"
紫苑,"g,分"
醋制艾叶,g
醇酒,盏
鸡苏,两
生台党,g
小粉,两
香橼,"g,None"
茅报,钱
白茯,"两,克"
白糯米,合
白茅根,"钱,克,g,None,两,升,两半"
麦饭石,g
中黄,None
水于再添,None
连换,None
生川附子,钱
酒生地,克
蜜,"斤,毫升,None,合,两,克,升"
炒川断,g
朱砂,"g,分,钱,克,两,None,钱半,钱5分,两半,两5分,钱2分,分5厘"
紫菀茸,克
禹余粮,"两,None,克,钱,分,铢"
煅通赤,None
马兜铃,"g,两,None,克"
半夏,"两,克,钱,升,None,g,钱5分,石,钱2分,分,两半,份,钱半,枚,斤,个"
茅山苍术,"斤,钱"
台乌药,g
钻粪虫,钱
马包,钱
李根白皮,升
郁李仁,"分,克,g,两,None,钱"
蛇脱,分
青蒿I,g
焦姜,克
味另杵罗,None
白丁香末,None
黑丑,"两,斤,两半,钱,分,g,克"
慢火炒令热透,None
白何首乌,两
柳桂,"钱,分"
鲜青果,个
血条炭,对
瓜蒌仁,"None,克,g,钱"
旧绵絮,克
马鞭草,"g,斤,分"
黑矾,"None,g,钱,两"
安息香,"两,枚,钱,分,克"
谈竹叶,克
浮者为灯心草,克
沙苑子,"两2钱,None,两,g,克,钱,两4钱"
白菊花,"g,两"
生葛,两
喉闭草,g
川文蛤炭,两
续断,"克,g,两,钱,分,两5钱,钱5分,两半,钱4分,None"
每只作,片
和瓤并烧灰,None
筋,克
李根皮,g
葱白头,g
上多盖黑豆蒸之,None
炙鳖甲,g
金橘饼,枚
僵蚕,"克,钱,两,None,g,分,两5分,个,条"
可买隆兴府块者用,None
糖糟,克
小蓟,"钱,克,g,None,分,毫升"
麦门冬草洗净,None
生栀子,"克,g,None,钱"
粮白酒,g
旋覆花头子,两
炙草.,g
牛抵角,钱
不中水猪肪,None
覆盆子,"分,两5钱,克,两半,两,g,None,钱,～15克,两1分"
鸡苏茎叶,分
佛手参,～30克
蔷薇根,None
亦芍,克
甜茶,g
五灵脂,"钱,两,g,份,None,分,克,两半,钱5分,kg"
蚌粉,两
先成大豆子块,None
生明矾,None
搭在壁上风干,None
牛膝大,斤
炒姜蚕,g
牡黄牛屎尖,None
猪肚,个
蓬莪术一,两
地骨皮,"两5钱,两,钱,克,None,g,石,分,两1分,两半,两3钱"
江米面,千克
白糖参,g
中桂,None
炒车前,钱
卜子,两
陈绍酒,瓢
好川当归,两
木猪苓,None
栀子仁,"两,克,分,两半,升,枚,钱"
白豆,两
榆皮,"克,两"
竹叶,"克,None,片,g,把,两,升"
麦门冬煎大,升
熟地黄炭,g
蜈蚣,"条,g,克,钱半,枚,None,分,对"
川厚朴,"两5钱,克,g,两半"
苍术l,g
粉甘草,"克,两"
苏土鳖,钱
丝棉,g
生地,"克,两,g,枚,None,升,斤,钱,分,石2斗,两2钱,千克,寸,石,两半,合,钱5分,钱2分,钱半,两7钱"
滚浮水面,None
红娘子,"钱,None,钱半"
铅,"分,两5钱"
醉鱼草根,g
入乳钵内,None
绵茵藤,g
细末,g
紫草茸,None
粳米半合,None
丹参,"g,两,两2钱,克,None,～15克,钱,石,升,片,分,两1分,两半,钱5分,kg"
紫丁皮,钱
包之,None
生薄荷,斤
旱莲草,"克,g,None"
却取款冬叶拌,None
放日中晒,None
把,None
雀瓮,个
蒸之,钱
小柴胡汤加羌活,None
灶突中墨,分
焦干姜,"克,None"
今虫粉,g
龙骨,"克,两,钱,钱半,g,None,分,钱5分,两1分"
刀豆,g
新韭子,克
明沙参,g
金银花,"钱,g,克,～30克,None,两,斤,钱半"
姜责,g
拣去向里裹花蕊,None
蒲黄,"克,None,g,两,钱,分,kg"
鲜荷杆,根
半夏曲,"两,g,克,None"
绿茶,g
炒赤芍,克
黄处芪,g
神曲,"None,两,钱,克,g,斤,钱5分,分"
千年健,"g,两"
埋在坑内,None
金星凤尾草,两5钱
茜草,"克,钱,g,None,两"
铅白霜,钱
盐半合,None
留鳞,None
白蘘荷,两
蒸晒,None
黑荆芥,g
随意做成饼式,None
瘦猪肉,克
蒺藜,"克,两,None,分,g,两1分,钱,两半,斤6两,两8钱,升"
川乌,"克,g,None,两,钱,两6钱"
经霜桑叶,克
甘草水浸,克
蓖麻子,"钱,两,粒,克"
广砂,钱
开口花椒,粒
陵鲤甲,片
去豆,None
桂枝汤,None
沉香,"g,两,钱半,分,钱,两半,两6钱,None,克"
乌啄,两
榴叶,g
浸已日,None
老葱,g
铁落花,"钱半,两"
当归身,"克,两,钱,None,g,分"
血竭,"克,g,钱,None,分,钱半,两"
牛心粉,g
与服亦不要言,None
苏木屑,钱
醋涂,None
生芪,g
黑沙糖,斤
同煮何首乌干,None
加桔梗,None
腊肉骨,钱
白蔻末,分
制益智,"克,钱"
出蛾蚕茧,None
天胡荽,g
一半生姜汁制作饼,None
地黄汁,"斤,升,升2合"
酒拌炒归身,钱
大,石
－黄芪,g
地肤子,"两,克,g,None,两1分"
面,匙
角沉香,克
马齿子半合,None
韭菜子,"两,钱,g,升,克"
石膏,"～45克,g,克,两,None,钱,两半,分,匙,铢"
如是,None
同于银石器中慢火熬成膏,None
木防己,"两,克"
鸡血藤,"g,两,克,None"
炒当时,g
用皮,None
蚂蚁,g
金牛草,None
壁钱,个
大川附子,"碗,毫升"
川附片,"钱,两"
"炙甘
草",g
乌梅,"克,个,钱,g,石,None,两,分,枚"
雅州黄连,两
水和作团,两
干木瓜,"钱,两,克"
淮膝,g
阴干,"None,钱,克"
同炒枳壳至微黄色,None
小胡麻,"None,g,钱,克,两,两1分"
豨莶草,"克,g,斤6两"
生麻黄,g
大蜈蚣,"条,钱"
却于铛子内炒令烟尽黑色,None
枣儿,g
炒党参,"克,g"
大瓦盆盖覆周围,克
豆卷,g
陈醋,g
真珠末,克
红枣桂圆,克
又换净水,None
仙灵皮,两
白矾石,两
代赭石,"克,g,钱,粒,两,None"
水澄,None
制川乌头,g
细曲,斤
千岁葛汁煎大,升
江枣,g
北沙参,"g,两,钱,克,石,None,分"
水银砂子,钱半
磨盘草,g
密佗僧,钱
猫人参,g
虎骨,"两,钱,g,克,None,分"
藜芦,"两,两2钱,分,铢"
猪胰,条
饼,None
潼木通,g
人胞粉,g
白英,"g,克"
食盐味精,None
儿茶,"g,None,钱,钱5分,分,克"
青桑炭,斤
硫化铅,两
山楂,"两,钱,克,粒,None,g,斤,钱5分,两半,钱半"
沥青,"钱,两"
没心草,两
火煅红,None
投水一碗,None
炷香毕,None
葛根粉,克
茨实,g
核如沙柑子核者,None
白刺皮,分
鲜茅根,"g,None"
麦糵,"两,钱,分,None"
酥炙,None
干麻,g
金蝎,g
不以多少,None
炒山楂,g
炒三棱,g
净铁粉,两
芡仁,两
故蘧蒢篾,两
不必挑去鲜红血脉,None
东天麻,钱
炒防风,g
焦艾,钱
同煮三小时,None
蛰虫,g
赤白何首乌,克
藿梗,g
撮,None
同煮水尽,None
鲜马齿苋,钱
不,None
败龟版,克
盐砂,钱
合顶,None
蔷薇,两
炒胡麻,g
清酒,升
龙芮,g
肥知母,g
盔沉香,钱
盐水,"碗,毫升,None"
人参叶,g
松脂如鸡子大,None
荆芥,"None,g,钱,克,分,两,两半,钱5分,钱2分"
生鸡内金,"g,克"
败龟,"两,分"
皂荚刺,None
毒公,None
大川乌头,None
蜜炙黄耆,"两,钱"
朴消,"两半,两,克,None,钱,升"
蜜甘草,g
水澄去浮,钱
野南星,None
冬瓜皮,"克,枚"
香附米,"钱,None"
火麻仁,"斗,升,克,-30克,g,两,None,分,升5合"
铺锅底,None
山植肉,克
榉皮,分
九制炉甘石,g
云茯苓,"g,钱"
飞雄黄,g
香茶香,g
木香,"g,两,钱半,钱,None,分,克,钱5分,两半,两4钱,钱2分,铢,两1分,～20毫升"
大麦糵,"钱,两,分"
穿牛膝,g
水蛭粉,g
石莲蓬,克
马钱子,"克,g,None,个,两"
阳起石,"两,None,钱,g,分"
山枙,g
蜜水润透,None
水飞过,None
干全蝎,两
白盐,"钱,两"
须是,None
附子先煎,g
杜仲钱半,None
炙川乌,g
防己,"分,克,钱,g,钱半,None,两"
大黄粉,g
生麦门冬,"克,两"
红麻,g
研极细,None
柴胡,"g,两,钱,None,克,两1钱,分,升,斤,两半,钱5分,两3钱,石,～9克,钱2分,钱半"
汤浸,None
生杜仲,"两,钱,g"
取身切片,None
大黄先煎,g
紫梗,g
