通草,"钱,克"
秦艽,"斤半,两,斤8两,g,克,二斤半,None,半两"
胡桃,钱
豆,两
麦门,两
香油半盏,None
败龟板,两
水瓜,克
汤瓶内硷,克
人参,"两,g,None,钱,分,一两,克,三两,半两,铢,斤"
麦芽,"None,克,两"
川楝,"两,钱,半两,克,二两,两半"
黄丹,"半两,克"
蒴藋根,斤
丝瓜子,克
蒲公英,斤
雌黄,克
鼠苓,两
蛇蜕皮,分
龟版,"克,两,斤8两"
陈皮,"None,斤,钱,克,两,半两,半斤,g,五斤半,斤半,二两,十斤,四两,分,两半,枚,铢"
龟板,片
栝楼,"两半,克"
乌梅,克
蕤仁,克
骨碎补,"两,克,g,半两,None"
片芩,克
川乌,"两,钱,g,半两,None,克"
川白姜,半两
橘核,两
北细辛,克
天冬,"g,两,钱"
金樱子13.5%,None
赤石脂,"两,两半,克,None"
萸肉,钱5分
川山甲,"钱,钱5分"
广荗,两
甜瓜子,两
紫草,"钱,两"
青蒿子,"斤,十斤"
黑牵牛,两
藤子,个
椒,"两,分,两半"
大黄,"两,None,钱,半两"
血琥珀,钱
寄生,g
良姜,None
制苁蓉,克
食盐,钱半
黄狗头骨,两
大腹皮,"两,分"
鸡内金,"克,钱"
川连,克
石莲子,两
白丑,两半
延胡索,两
青皮,"None,钱,两,克"
盐,斤
云苓,"两,钱,克"
厚朴,"None,斤,两,钱,分,五斤,半两,克"
使君子肉,None
草豆蔻,"两,枚"
丹参1字,None
巨胜子,"两,钱"
知母,"钱,克,两,斤8两,g,分,半两"
干漆,"克,两,钱"
胡桃肉,"两,个"
白蔹,"钱,半两,分"
茴香,"两,斤半,钱,两半,None,半两,克,二两,二斤半,g,一两半"
恶实,分
麋角,克
韭子,"钱,两"
紫梢花,克
净蕲艾绵,两
干姜,"两半,克,两,半两,钱,分,g,二两,None"
猪胆,个
夜明砂,None
棠球子,两
鹿角,"斤,克"
自然铜,两
辰砂1.5,None
嫩鹿茸,两
白及,"钱,两,半两,分"
轻粉,"克,分,钱,两"
零陵香,半两
贯众,None
菟丝,"两,克"
绛真香,None
蝉退,钱
龟甲,g
皂荚,分
萆薢,"两,斤,两半,半两,钱,克,None,g"
乌梅肉,"两,半两"
黄蜀葵花,"枚,None"
锡灰,钱
白石英,两
腻粉,"分,半两"
珍珠,克
草薢,g
川芎,"None,斤半,两,钱,克,g,一两半,两半,斤,二斤半,半两,二两,分,四两,钱半"
甘菊,"半两,钱"
好墨,两
泽兰叶,两
豨莶草,"斤6两,g,克"
牛膝,"两,g,克,半两,None,钱,一两,两半,半斤,分,两5钱,斤,一斤"
木瓜干,None
细辛,"None,半两,钱,分,两,g,克,两半,铢"
鸡血藤膏,钱
交趾桂,钱
甘松,两
螺儿粉,钱
竹茹,"None,两"
黑铅,分
牛子,钱
石中黄,两
赤芍,"两,钱,None"
苏梗,分
龙胆草,"None,二两"
当归,"两半,None,两,克,半两,钱,g,二两,分,斤8两,两5钱,八两,钱半"
藁本,"斤半,分,两,半两"
蝉蜕,"None,钱,半两,克,分"
朱砂,"钱,两,半两,克,g"
干茄根,g
银,None
连翘,"克,None,钱,分"
紫菀,两
地黄汁,升
车前叶,握
杏仁,"钱,克,枚,两,None,分"
蒲黄,"None,克,钱"
白薇,"两,一两"
黄连,"分,两,克,None,钱,半斤,半两"
石龙芮,分
蜂蜜,两
上元桂,分
常山,"两,半两"
辽,味5钱
剪草,两半
五加皮,"两,钱,克,半两,g"
川心巴戟,钱
黑芝麻,"g,克"
蟾头,个
庵,None
石膏,"克,None,两"
赤土,两半
蔻米,分
益智仁,"两,半两"
枣仁,"两,钱,None,g,半两,斤,克,钱半,分,个"
荆芥,"斤,钱,两,十斤,克,None"
杜仲,"g,None,两,钱,克,二两,半两,两半"
苦参,"半两,两,两半"
人乳,半斤
金樱子膏,"两,克"
麝,None
川断,两
嫩黄耆,两
伸筋草,两
菖蒲,"g,两,两半,None,分,半斤,斤,三分,克,钱"
没石子,枚
椒红,克
马牙消,两
三七,"钱,克,g"
侧柏叶,"两,分"
天门冬,"两,钱,克"
鹿角胶,"半斤,两,g"
香附,"斤,钱,克,七斤,斤半,两,十斤,g,None,四两"
无食子,枚
蓖麻子1000颗,None
童便浸,升
蜈蚣,条
旋覆花,"两,半两,两5钱,分,铢"
老鹳草,g
逐日转动,None
地黄汁并入前浸药酒内,None
淫羊藿,"g,两,None"
肉桂,"斤,两,钱,半两,克,g,五斤,三两,一两半"
皂角核,两
糯米5斗,None
高丽参,克
黄鳝,条
山楂,"两,克,钱"
忍冬藤,克
麦糵,两
蟾酥,"克,钱"
雄黑豆,两
官桂面,钱
槐枝,None
于术,两5钱
故纸,"斤8两,两"
信石,钱
独活,"两,钱,斤8两,g,克,None,分"
黄芪,g
贝母,"钱,克,半两"
归身,"克,钱半,分"
小胡麻,钱半
射干,两
丹参,"两,None,g,克,分,半两,钱"
无灰酒,ml
大蛤蚧,对
凝水石,两
丁皮,"None,半两"
覆盆子,"g,两5钱,两,None,分,克,三分"
乌头,"半两,两"
云母粉,两
白前,两
金刚骨,两
花粉,"克,分,None"
白芍,"None,克,两,钱,g,钱半"
砂仁面,钱
松柏,两
时时搅转,None
郁李仁,分
玄参,"克,None,钱,两"
诃黎勒,两
小草,分
茵陈,钱
石楠叶,两
淡竹叶,升
糯米,kg
鹞鸱头,枚
生白芍,斤8两
地黄,"两,None,钱,克,半斤,二两,斤,半两,g,一两,一两半,升,铢"
雄雀粪,分
6克,雄猪左悬蹄甲
沉香,"两,None,钱,钱半,克,g,两半,半两"
即住火,None
地肤子,"两,钱半"
代赭石,两
小茴,分
豹骨,g
冬瓜汁,合
水银豌豆大,None
捣罗为末,None
漏芦蒿,斤
莲花蕊,钱
莲须,两
红曲,两
麻油,"克,半斤"
白石脂,半两
黄蓍,二两
朴消,克
大麻子,克
慈竹1段,None
枳实,"None,半两"
胡椒,None
白杨皮,握
梅花蕊,钱
丹皮,"两,钱,钱5分,克"
火消,None
豉心,半两
皂角刺,两
槟榔,"两,None,克,枚,分,个,钱,半两"
硼砂,"两,None,克,分"
荜茇,"None,分"
一十,二两
拣参,两
制虎骨,斤12两
桂,"克,两,分,半两,两半"
白茅根,分
升麻,"None,两,斤,分,两半,半两"
杭芍,两
灯心,None
雄精,"克,钱5分"
羊肾,"对,具"
黄榔刺树根,两
桑椹膏,克
地骨皮,"g,两5钱,None,两,克,分"
马钱子霜,g
生黄耆,斤8两
虾蟆,None
六一散,钱
盐菟丝,克
虎胫骨,"两,克,具,g"
莲肉,"分,斤,None"
地黄汁外,None
黄明胶,片
川归,钱
螺儿清,None
槐皮,克
苦楝皮,克
荜澄茄,"两,半两"
紫荆皮,"克,None"
虎前脚骨,两
牛酥,分
何首乌,"两,None,半斤,钱,g,斤,三斤,斤半,千克,克"
生姜,"两,g,片,铢"
18厘米,None
铅粉,钱
党参,"两,g"
吴萸,分
以无灰酒,升
紫石英,"半两,两"
油松节,两
青葙子,None
白僵蚕,"两,枚,半两"
菝葜,克
罗卜子,两
蚕沙,g
青盐,"两,半两,钱5分,克"
牙皂,"None,两"
晕死鹅,个
紫河车,具
虎骨,"两,克,钱"
木香,"两,g,None,半两,克,钱,一两,分"
羚羊角,"两,分"
望月砂,钱
蛇床子,"克,两,半两,None"
白信,钱
辰砂,"克,分,钱,两"
糜鹿角霜,克
天竺黄,钱
楮桃仁,克
防己,"分,两,半两,克"
石决明,"None,具"
葱头,个
石韦,"两,半两"
葱白,"茎,克"
血竭,钱
紫霄花,克
茺蔚,斤
牵牛子,"二两,克"
猬皮,"克,个"
姜,两
干苏叶,两
白蜜,"None,升"
马钱子,两
八物汤加阿胶,None
白蔻,钱
羊桃,斤
栀子,"钱,两,None,枚"
粳米,"合,克,半合"
米,合
蓬术,两
斑蝥,"个,两,钱"
黄雌鸡,只
柏子仁,"g,两,半两,None,分"
甘皮,半两
琥珀,"两,克,钱"
蛇蜕,"钱5分,克,钱"
菊花,"两,None,斤,克,二两,钱"
于葛,None
益智,半两
积实,分
菟丝饼,"None,钱"
败龟版,"两,克"
地黄21.7%,None
莲芯,两
香豉,升
山桂皮,两
皮硝,"None,两,半两"
续断,"两,None,钱,克,g,半两,斤,两5钱,分"
葵子,两
麒麟竭,"钱,两"
30克,麝香0
细墨,钱
蚕茧,个
骨碎补10.2%,None
置日中晒3日,None
雄雀儿,只
胡桃仁,两
山栀,None
绵黄耆,"两,半两"
萎蕤,两
金铃子,两
生耆,钱
藤黄,克
牵牛头末,两
干胭脂,None
芦根,分
鸡脚风叶,None
西洋参,"克,g"
沙参,"克,两"
红花,"钱,两,g,分"
密陀僧,None
南硼砂,钱
山萸,"两,钱,None"
白矾,"半两,None,两,钱,分"
鸱鸮,个
晚蚕沙半,合
锁阳,"两,克,g,斤8两"
阿魏,"两,克,半两"
真酥油,半斤
猪脊髓,条
半夏,"None,斤半,钱,半两,二斤半,克,分,两,g,铢,升"
威灵仙,"钱,半两,两,二斤,斤,g,二两,克"
百合,"分,钱,克,两半"
茺蔚子,None
仙茅,"两,斤"
蕲蛇,钱
苎麻根,两
白垩,铢
白檀,钱
沥青,半两
石,钱
陈小麦,None
穞豆皮,钱
藿香,"None,一两半,钱,两,分,半斤"
山芋,"None,两"
枯白矾,两
紫苏,两
木鳖子,"两,克,g,分,两3分,半斤"
石斛,"None,两,两半,半两,克"
露蜂房,两
面曲,斤
砂仁,"None,两,钱,克,g,枚"
沙苑子,钱
归尾,钱
松节,g
安息香,两
三棱,"None,两,钱"
茵芋叶,两
其浸药之酒,None
炙黄耆,克
虎胆,钱
巴戟肉,"两,克"
黑附子,"枚,半两,两,一两半,克,两半,分,g,个,钱"
苍术,"None,斤,两,钱,六斤,克,十斤,分"
卷柏,"两,分,三两"
条芩,钱半
桑叶,"g,克,钱,分"
潞参,钱半
细盐,None
滑石,"两,None"
红藤根,克
古老钱,文
芸香末,钱
真蜜,斤
决明子,"克,二两,两"
人中白,克
麦冬,"g,两,钱,克"
五倍子,None
秋石,"两,克,半两"
桑枝,"None,钱"
天雄,"半两,两"
矾石,两
炙鳖甲,g
腊米,升
官桂,"None,克,两"
浆水脚,分
防风,"两,半斤,钱,二两,克,分,g,半两,斤8两,None,两半,斤"
僵蚕,"克,钱"
艾叶,"g,两,半两,None"
马蔺子,两
糯米饭1盏,None
山药,"两,g,钱,克,None,半两,八两,分"
白蒺藜,"斤,斤6两,两,半两,None,分,两半,克,钱半"
降香,分
归梢,两
莨菪子,两
檀香末,钱
生芩,两
姜黄,None
枳壳,"分,None,钱,两,片,半两"
墨旱莲,g
白芜荑仁,None
桑椹,g
夏枯草,None
蓝实,克
酒天冬,克
日足漉出焙干,None
薏仁,"None,两,克,两1分"
麝香,"半两,两,分,克,半分,None,钱,半钱"
桑白皮,"None,斤,g,十斤,分,半两,两"
楝实,两
干蝎,"分,半两"
轻扮,克
磁石,"两,克,分"
圆肉,两
三奈,两
地榆,两
萝卜子,"None,两,钱"
干蟾酥,克
功劳叶,克
黑,None
莲子蕊,g
宫桂,None
黄蜡,"克,半两,两"
女萎,两半
白茯,钱
白豆蔻,"钱,半两,枚,分"
