黄鳝,鸡内金
古老钱,虎骨,自然铜,龟板,当归,肉苁蓉,牛膝,螵蛸,没药,金刚骨,乳香,龙骨,槟榔,诃子,川乌,木鳖子,川楝,葫芦巴,白胶香,人参,白附子,草乌,何首乌,五灵脂,木香,地龙,丁香,缩砂仁,芍药,破故纸,天麻,地黄,白芷,木瓜,续断,骨碎补,巴戟,朱砂,乌药,麝香,茯苓,菟丝子,五加皮,鹿茸,枣仁,安息香,鹿角霜,沉香,琥珀
人参,枸杞,山药,五味子,天门冬,麦门冬,地黄,地黄
茱萸,巴戟天,菖蒲,地骨皮,覆盆子,枸杞,菟丝子,肉苁蓉,柏子仁,五味子,熟地,山药,牛膝,杜仲,茯苓,人参,木香,川椒,泽泻,远志,天冬,麦冬,白酒
黄耆,人参,白术,茯苓,当归,川芎,白芍,地黄,官桂,陈皮,天南星,半夏,苍术,厚朴,砂仁,草果仁,青皮,槟榔,丁香,木香,沉香,五味子,藿香,木瓜,石斛,杜仲,白蔻壳,薏仁,枇杷叶,桑白皮,神曲,麦芽,甘草
天冬,麦冬,熟地,山药,牛膝,生地,杜仲,山萸,云苓,人参,木香,柏子仁,五味子,巴戟,川椒,泽泻,菖蒲,远志,菟丝子,肉苁蓉,枸杞,覆盆子,地骨皮
仙茅,茱萸,何首乌,萆薢,何首乌,破故纸,黄精,地黄,地黄,巨胜子,山药,枸杞,天门冬,麦门冬,茯苓,五味子,茴香,覆盆子,拣参,嫩鹿茸,牛膝,柏子仁,青盐,杜仲,当归,川巴戟,菟丝子,肉苁蓉,川椒,远志,锁阳
天仙藤,青蒿子,桑白皮,香附,荆芥,前胡,柴胡,桔梗,麻黄,苍术,干葛,陈皮,茴香,秦艽,川芎,芍药,藁本,黄耆,半夏,羌活,甘草,肉桂,白芷,厚朴
枳壳,甘草,全蝎,木香,茱萸,木贼,菖蒲,黑牵牛
菊花,枸杞,巴戟天,肉苁蓉
仙茅,羌活,防风,狗脊,白术,茯苓,干姜,菖蒲,白丑,威灵仙,何首乌,苍术
川椒,茯苓,川乌,茴香,苍术,甘草,熟地,山药
苍术
苍术不拘多少
苍术
肉苁蓉,牛膝,菟丝子,木瓜,黑附子,麋角,椒红,肉豆蔻,破故纸,楮实,巴戟天,木香,鹿茸,桂,蛇床子,槟榔,干姜
苁蓉,黑附子,牛膝,鹿茸,菟丝子
肉苁蓉,菟丝子,牛膝,白术,细辛,何首乌,续断,枸杞,山芋,菖蒲,车前子,巴戟天,菊花,破故纸,远志,地骨皮,覆盆子,地黄
磁石,雄黄,桂心,菟丝子,雄雀粪,牛酥
沉香,麝香,鹿茸
沉香,木香,白檀,胡桃,丁香,枸杞,茴香,全蝎,茴香,川楝,葫芦巴,破故纸,川山甲,菟丝子,巨胜子,远志,韭子,莲花蕊,川心巴戟,山药,茱萸,知母,仙灵脾,青皮,陈皮,茯苓,牛膝,黄精,天门冬,麦门冬,人参,地黄,乳香,地黄,细墨,五味子,肉苁蓉
木香,沉香,茴香,丁香,南番葫芦巴,石斛,破故纸,巴戟,牛膝,青皮,川芎,黑附子
破故纸,菟丝子,胡桃肉,乳香,没药,沉香
黄柏,知母,地黄,龟版,白芍,陈皮,牛膝,锁阳,当归,虎骨
白蒺藜,莲须,山萸,续断,覆盆子,枸杞,金樱子膏,菟丝饼,芡实米,龙骨
地黄,鼠苓,茯苓,黄柏,当归,枳壳,麦门冬,地黄,天门冬,拣参,菊花,生芩
茴香,黑附子,巴戟天,陈皮,陈皮,破故纸,青盐,牛膝,川椒
青蒿,柴胡,芍药,五加皮,续断,石斛,黄耆,羌活,以上锉,以无灰酒,童便浸,置日中晒3日,逐日转动,日足漉出焙干,捣罗为末,其浸药之酒,当归,牛膝,桃仁,肉苁蓉,地黄汁,五味子,地黄汁外,捣罗为末,地黄汁并入前浸药酒内,慢火熬,时时搅转,令膏凝,即住火,芎?,人参,茯苓,桂,黑附子,蛇床子,卷柏,川椒,厚朴,木香,荜澄茄
牛膝,地黄,枳壳,地骨皮,菟丝子,远志
葫芦巴,高良姜,破故纸,乌头,威灵仙,茴香,槟榔
乌头,威灵仙,巴戟天,苍术,芍药
鹿角胶,杜仲,山药,茯苓,地黄,菟丝子,茱萸,五味子,牛膝,益智仁,远志,茴香,川楝,川巴戟,破故纸,胡芦巴,柏子仁,川山甲,沉香,全蝎
豨莶草,白蒺藜,天冬,熟地,人参,茯神,枣仁,枸杞,牛膝,杜仲,续断,五加皮,山药,山萸,白术,菟丝饼,沉香,朱砂,天南星,沙苑子,半夏,鹿茸,虎胆,乳香,没药,黄芩,山楂,龙骨,地龙,土鳖,甜瓜子,骨碎补,肉桂,黑附子,甘草
萆薢,破故纸,狗脊,巴戟天,牛膝,茴香
萆薢,当归,厚朴,干姜,荆三棱,桂,黑附子,陈皮
萆薢,牛膝,菖蒲,天台乌药,薏仁
破故纸,骨碎补,杜仲,牛膝,续断,肉苁蓉,黑,豆,当归,鸡血藤膏,三七,血琥珀,麒麟竭,沉香
白薇,车前子,当归,芎藭,蛇床子,藁本,卷柏,白芷,覆盆子,桃仁,麦门冬,人参,桂心,菖蒲,细辛,干姜,地黄,川椒,茯苓,远志,龙骨
鹿角,天门冬,麦门冬,黄柏,知母,虎胫骨,龟版,枸杞,山药,肉苁蓉,茯苓,茱萸,破故纸,生地,当归,菟丝子,熟地,白芍,牛膝,杜仲,人参,白术,五味子,枣仁,远志,甘草,砂仁
鹿角霜,鹿角胶,人参,杜仲,牛膝,茯苓,芡实,黄柏,当归,山药,黄耆,知母,生地,五味子,枸杞
鹿角胶,鹿角霜,菟丝子,柏子仁,地黄
黑附子,乌头,草乌,防风,蛇床子,莨菪子,马蔺子,茱萸
朱砂,磁石,赤石脂,代赭石,人中黄,禹余粮,乳香,没药
茯苓,黄耆,肉苁蓉,人参,枸杞,破故纸,何首乌,秋石,人乳
当归,生地,杜仲,牛膝,枸杞,五加皮,茯苓
何首乌,牛膝,茱萸,柏子仁,知母,黄柏,当归,败龟版
伏火朱砂,真磁石,赤石脂,代赭石,石中黄,禹余粮,乳香,没药
天门冬,麦门冬,远志,谷精草,地黄,地黄,黑附子,茴香,茴香,羌活,木鳖子,独活
人参,当归,白茯,乌药,杏仁,砂仁,川乌,草乌,何首乌,五加皮,枸杞,牛膝,杜仲,肉桂,苍术,肉苁蓉,破故纸,甘草,木香,枳壳,干姜,虎骨,香附,白芷,厚朴,陈皮,白术,川芎,麻黄,独活,羌活,川椒,白芍,生地,熟地,天冬,麦冬,防风,荆芥,五味子,茴香,细辛,沉香,白蔻,枣仁,真蜜,核桃仁,真酥油,天麻,生姜
西洋参,黄耆,当归,川芎,熟地,白芍,枸杞,山药,续断,砂仁,三七,破故纸,骨碎补,木瓜,甘草
当归,五加皮,生地,破故纸,骨碎补,功劳叶,薏仁,紫荆皮,木香,羌活,川芎,杜仲,莪术,桃仁,虎骨
西洋参,黄耆,当归,川芎,熟地,白芍,枸杞,山药,续断,砂仁,三七,破故纸,骨碎补,木瓜,甘草
当归,熟地,杜仲,制苁蓉,炙黄耆,酒天冬,麦冬,五味子,高丽参,牛膝,鹿茸,杏仁,蛇床子,酒川断,紫霄花,盐菟丝,虎胫骨,谷精草,香附,生地,远志,制山甲,木鳖子,男子头发,大蛤蚧
菖蒲,山药,牛膝,远志,巴戟,续断,五味子,楮实子,杜仲,茱萸,茯神,熟地,茴香,肉苁蓉,枸杞
厚朴,苍术,甘草,陈皮
川芎,黑附子,地黄,白术,防风,当归,芍药,杜仲,羌活,人参,甘草,牛膝
川芎,黑附子,地黄,白术,防风,当归,芍药,黄耆,杜仲,甘草,牛膝
防风,白术,杜仲,当归,地黄,芍药,黄耆,羌活,牛膝,甘草,人参,黑附子,川芎
石斛,萆薢,柏子仁,石龙芮,泽泻,黑附子,杜仲,牛膝,芍药,云母粉,松柏,防风,茱萸,菟丝子,细辛,鹿茸,巴戟
黑附子,川乌,白附子,白蒺藜,白僵蚕,五灵脂,没药,白矾,麝香净肉,细香墨,朱砂,金箔200箔
细辛,桂心,黄芩,茱萸,厚朴,杏仁,干姜,川椒,远志,小草,芍药,黑附子,当归,黄连
大朱砂
地黄,糯米5斗,面曲
地黄,五加皮,牛膝
肉苁蓉,黑附子,木鳖子,天南星,白附子,覆盆子,菟丝子,赤小豆,骨碎补,何首乌,川乌,甘草,川椒,地龙,防风,羊膝,草薢,羌活,狗脊,人参,黄芪,白术,茯苓,白酒
萆薢,防风,白蒺藜,狗脊,乌药,黑附子,白附子,赤小豆,地龙,骨碎补,茴香,羌活,天南星,黄耆,肉苁蓉,牛膝,何首乌,川椒,覆盆子,木鳖子
人参,白术,黄耆,甘草,川归,川芎,芍药,地黄,防风,防己,羌活,牛膝,杜仲,萆薢,黑附子
乌头,黑附子
地黄,地黄,菟丝子,茱萸,肉苁蓉,败龟版,人参,黄耆,黄柏,牛膝,枸杞,破故纸,五味子,白术,芍药,当归,虎胫骨,杜仲,山药,知母,陈皮,茯苓
地黄,龟版,白术,黄柏,知母,当归,地黄,芍药,麦冬,天冬
