青龙骨,钱
白芍,"克,分,两,None,钱5分,g,钱,份,石,两半,斤半,钱半,斤,两5钱,钱2分"
食糖,斤
桑螵蛸,"g,两,None,钱半,克,分"
劈开,克
姜汁拌,None
雀粪,分
过滤去滓,None
木香末,克
豆豉姜,None
栀子,"个,斤,两,g,克,None,钱,分,钱半,枚,钱5分"
乱发,"None,两,分,团"
当归I0五味子,g
令裙襕自脱而出,None
干姜,"克,分,两,千克,两4钱,钱,片,斤,g,None,两半,块,斤半,～9克,两2钱,钱半"
薄荷脑,"None,g,钱,克"
二芽,g
红砒石,g
泡参,"g,钱"
葛根l,g
⑦治血痔方,None
九香虫,g
半石膏,None
火丹草,克
白菊花,"None,g,克,两"
神僸,两
盆复之,None
公丁香,"克,分,None,两,g,钱,个,钱2分,钱7分,钱半,-7枚,两半,粒"
醋浸一宿,克
鸡骨草,g
绞取汁,None
头生鸡子,个
维生素B,g
楂炭,钱
饧糖,升
丹参,"克,两,钱,None,g,石,斤,分,升"
四面着火,None
玄参心,克
日端午采收,None
焦山楂,g
荷叶炭,斤
铁落花,"g,None"
女贞子柴胡,g
石蛇黄,None
使君子,"克,g,钱"
明参,g
便搅结为沙子,None
乌齿苋,g
蔓陀罗花,钱
酒生地黄,克
炙附片,g
宽筋藤,g
生槐米,g
川贝,"钱,None,克,g,钱5分,两,分,钱半,两半"
北五味子,粒
金蝎,g
黑铅,"钱,两"
焦艾,钱
自信,厘
赤脚蜈蚣,条
核桃,两
独体朱砂,None
真沉香,钱
冬凌草,"g,斤"
心竹,g
金樱子,"g,None,钱"
芡实仁,钱半
玛,钱5分
黑蒲黄,g
煮至豆腐起蜂窝时取出,克
大腹皮,"克,g,两,None,分,钱,枚"
瓜水浸,None
陈茶叶,None
熟附块,-24克
泡山甲,g
升麻,"克,g,两,两半,None,铢,钱,两1分,分"
穿山甲骨,两
味用银器慢火煮令极干,None
小驳骨,g
白芜荑,"两,None"
蘸一遍,None
鼠妇,"克,分,g,两"
桑葚子,g
荆皮,钱半
饭上蒸晒,None
红藤,"-60克,克,None,钱,g"
佼股蓝,g
粱米,合
蜀葵子,"None,两"
厚,"两,None"
用童便,None
人参随宜,None
芝硝,g
橄榄,两
生绢滤去砂,None
红升丹,"g,克"
红芥子,g
用绢袋盛壳,None
芎?,"两,两半,分,钱"
黄艽,g
焰消,钱
逍遥散加远志,钱
生大黄粉,g
槐枝,"斤,两"
白糖,"None,克,g"
却将扎定附子,只
白矾灰,分
炙首乌,g
白荸根,g
象牙屑,"两,钱"
黑墨,锭
浸之,None
制没药,"g,钱,两,None,克"
生绵黄耆,钱
又加醋,斤
生麝香,None
小柴胡汤加生地,None
生薄荷汁,None
杏仁大,None
羚羊角屑,"两,分,None"
瓜蒌,"None,克,两,-30克,g,两半,钱,个,分,枚"
不油杏仁,两
鳖甲如手大,None
麝香草酚,None
巴越天,g
吴茱萸,"两4钱,分,克,g,两,None,升,钱,两半,两8钱"
二面针,g
大黄后入,g
紫金,g
焦山桅,g
慢火再熬,None
细切,"None,两"
马兰,g
生姜汁炙,两
中分作,片
防风,"斤,两,克,-12克,g,钱,None,钱5分,钱2分,两半,分,石,钱半,两5钱,两1分"
炒九香虫,克
生犀角屑,两
罂粟,"两,钱5分,None,克"
芒荟,g
川椒同炒黄,碗
紫珠草,g
飞黄丹,克
研如泥,两
禹余粮石,None
滑石末,钱
木香粉,g
零陵香,"两,钱半,None"
炙僵蚕,"g,克"
苏枋木,两
菖根,g
枳络,g
鸭嘴花,g
先煎,None
刮下为末,None
地锦,两
酒红花,"钱,克"
陆英,"g,两"
涂生姜汁炙烟出,None
干蜗牛,枚
当当,g
覆花,None
同乳香一处,两
光草乌,克
晒干研末,None
炒苍术,"两,克,g"
曲,斤
白粉葛,分
铁苋菜,g
功劳叶,"克,g"
粳米,"g,克,None,合"
草蔻,"克,g,两,两半,钱,枚,个,None"
虻虫1升水蛭百枚蛴螬1升蟅虫,升
川苇,g
段生姜,片
佛手,"克,g"
烘晒干为末,None
留故纸入药,None
铁精,None
人乳,None
水飞蓟素,g
陈小粉,g
炒杜仲,g
毛诃子,g
熟干地黄,"克,两,斤,两1分,两半,分,None"
绵耆,两
大醋,升
榴皮,g
雪上一枝蒿,g
槟榔片,g
制川军,"钱,g"
茜萆炭,g
滤去药片,None
泽漆,"g,两"
生犀末,分
鬼针草,g
地栗沙,两
金扁柏,g
明雄黄,"g,钱,两"
上血竭,"两,钱"
五不留行,g
莶草,g
香附末,g
生姜屑,斤
红大戟,"两,g,None,钱"
五加皮饮加泽泻,None
真珠粉,g
铜刀切成,分
蜀红藤,g
兔肝,具
辣蓼,g
成炼钟乳粉,两
孩儿参,"克,钱"
有髓者佳,None
花摈榔,g
血竭面,钱
银砂,分5厘
木贼,"克,g,两,None,分,钱,钱5分"
寻骨风,g
山椒,"g,None"
琥珀米,g
叶子雌黄,两
荸荠粉,"g,None"
面针,g
白薇,"g,分,两"
人乳拌,克
胡桃仁,"g,个"
真阿胶,两
炙款冬花,None
[方源]古方,None
生艾汁,升
复方新诺明片,g
大木瓜,克
白牵牛,"两,钱"
炒穿山甲,g
丹桂,g
再用水,碗
法制半夏,克
赤龙鳞,分
杜蒺藜,两
藁木,"g,两"
煨白果,粒
樗白皮,"两,分,None,克"
青陈皮,g
广防己,g
焦大黄,g
羊耳菊,None
人工牛黄,None
大茴香末,面
黑驴肾,"具,None"
真黄丹,"两,分"
冬瓜子,"克,g,钱,分"
葱汁,两
味结为砂子,None
捻,None
拍碎,None
山桔根,g
黑桑椹,斤
木棉花,g
胡桐泪,两
宣州花木瓜,只
广霍,g
木鳖子肉,两
白果,"None,g,两,克,枚,～12克,个"
巴蕺天,g
白凤仙花,None
菠萝香糊,None
鲜竹笋,个
珊瑚,"g,钱5分"
大麦面,两
川栋子,两
生当归,g
油,斤半
生熟地,g
取出以白萝卜同煮过,None
北漏芦,克
虎胫骨,"克,None,两,g"
黑豆拌蒸晒,None
山萸肉炭,分
用猪苓,克
黑种草籽,g
云,None
盐杜仲,克
去红花不用,None
青吹口散,两
白前,"g,钱,分,两"
生黑附子,克
炮附子,"克,g,钱"
掾子芽子在,None
维小麦,g
豆蔻,"克,钱,None,g"
取出放入冷水中,None
黄花,g
以开元钱代之,None
煨过,克
土木香,g
海藻,"两,克,g,重,匙,石,None"
礜石,两
黑老虎,g
老式大泥冰,None
老鹤草,g
干金鳖,g
晒九次,克
芭蕉叶灰,石
生艾叶,把
牛旁子,克
猪肝,两
内白芨,g
灯芯草,g
姜活,g
栝蒌皮,g
地鳖虫,"钱,克,g"
穿破石,g
羊子肝,两
灯心草,"g,厘,None,根,钱,克"
东党参,两
葶苈子,"克,分,两,g,升,合,钱,None,两1分,钱2分,钱7分"
取出焙干,None
制松香,g
母丁香,"两,两1分,枚,分,两2钱"
益母花,g
羊毛脂,g
猪芩,g
酒精,"%15毫升,%1000ml,ml"
刮令净,两
